com.samsung.health.water_intake,6123001,5
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.193,2019-06-09 00:10:28.193,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,4aa6c67a-d079-4650-a129-9a4b78dc03b8,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.196,2019-06-09 00:10:28.196,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,27765af4-44d8-46e5-8b0e-50535149699b,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.104,2019-06-07 00:59:09.104,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9c3cc194-75a9-413c-bbbd-2babfb66f4a8,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,627e871c-f6c2-4a21-bf4b-c45b72b07ce4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,509631a2-f4c3-41f7-9ddb-5dd488cf82f4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,999a7686-310f-4521-97e6-2d6943bae6b4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.191,2019-06-09 00:10:28.191,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,13fe29c3-7899-420d-ab89-5e6eb9c463e4,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.853,2019-06-09 00:10:35.853,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,c63379a7-e751-402b-8889-b4e21bdf9385,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.106,2019-06-07 00:59:09.106,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,42e46e0c-4b30-4cd6-ac26-48a3daef0a3d,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.852,2019-06-09 00:10:35.852,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,d637cc41-4b2b-4d33-b590-3088c93cde08,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.852,2019-06-09 00:10:35.852,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b383b2ed-fa15-4ddc-8b42-67cf3f22b662,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.196,2019-06-09 00:10:28.196,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,cf7916c4-dbf8-43ff-a94b-78450ae6f420,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,3d1dbba8-8466-4514-bb75-27776843874c,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.409,2019-06-09 00:11:33.409,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,23a4445b-ccf9-47ca-adec-b76bf714b723,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.407,2019-06-09 00:11:33.407,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,324b7d22-4ef8-49b3-87db-b0c8f606024b,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,e04e823d-ddab-44e0-abac-104058f96abe,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.853,2019-06-09 00:10:35.853,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,e060455a-8f04-452d-a2cc-6a8749c363c6,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.196,2019-06-09 00:10:28.196,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,d3070a25-4193-4ea9-8d78-384ec2ab1447,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.411,2019-06-09 00:11:33.411,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9c1281e8-00f7-4d76-a25f-07ed97ecd8f6,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.409,2019-06-09 00:11:33.409,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,d45816ab-9c86-40de-8fed-c01a5c463406,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.108,2019-06-07 00:59:09.108,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,7fccff23-4f0e-442a-aac8-ebe7a8cca6dd,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.853,2019-06-09 00:10:35.853,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,41c9d6b0-d9c0-4eae-8526-5e4f5a3356da,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.414,2019-06-09 00:11:33.414,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,752d94b0-3961-49a6-af8a-2109933e6669,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.412,2019-06-09 00:11:33.412,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,66f410c9-3de3-43c4-a962-c53df489b130,
2019-10-07 18:31:46.606,250.0,,2019-10-07 18:31:46.979,2019-10-07 18:31:46.979,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,87ec9e29-956a-43d5-88ab-c1aa40056fce,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.412,2019-06-09 00:11:33.412,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0009ce9a-97e5-4f91-9b7a-f2c7a00b1065,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.410,2019-06-09 00:11:33.410,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b2b559bd-bc12-45b2-a1fc-19eaa7408146,
2019-10-07 18:31:32.452,250.0,,2019-10-07 18:31:32.827,2019-10-07 18:31:32.827,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,28baaf88-f6a7-4977-b475-81d57e757bf0,
2019-10-07 18:31:51.305,250.0,,2019-10-07 18:31:51.673,2019-10-07 18:31:51.673,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,ca23149d-f6c2-46c2-900c-18fd54313503,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.413,2019-06-09 00:11:33.413,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,71c67385-715b-4648-96c7-f7831bc1fdb0,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.110,2019-06-07 00:59:09.110,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,94a3195b-bcab-4ca4-a56b-4890285d50ee,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.854,2019-06-09 00:10:35.854,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9e3dbb0c-d754-405f-aba4-6215828aebd0,
2019-10-07 18:32:02.298,250.0,,2019-10-07 18:32:02.671,2019-10-07 18:32:02.671,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,33a930bf-145b-4e16-be35-6256f62717f3,
2019-10-07 18:31:33.113,250.0,,2019-10-07 18:31:33.471,2019-10-07 18:31:33.471,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,08efdcb3-779c-47d1-a51b-5aa5de79ce09,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.192,2019-06-09 00:10:28.192,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9173b882-b68c-40e5-9292-61b7f424f081,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.411,2019-06-09 00:11:33.411,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,2119e4da-995a-460a-8c5a-2c6075d31ca2,
2019-10-07 18:31:48.035,250.0,,2019-10-07 18:31:48.404,2019-10-07 18:31:48.404,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,7e7fb2d3-443b-4041-9ab6-67c3c7c836d3,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.415,2019-06-09 00:11:33.415,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,a32817b2-0b1a-4d38-9d8d-8768f267218b,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,7878084f-0e0b-4d86-adae-a6ccda7c21f7,
2019-10-07 18:32:07.830,250.0,,2019-10-07 18:32:08.201,2019-10-07 18:32:08.201,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,dfc4a346-a04d-46a6-97e4-eb1abaf85121,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.414,2019-06-09 00:11:33.414,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,6c578d1c-3391-40c3-8045-3c4d617631cc,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b016e3a3-562d-450e-add9-2c7d5fcd845c,
2019-10-07 18:31:57.754,250.0,,2019-10-07 18:31:58.127,2019-10-07 18:31:58.127,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,cde5f9d5-8a30-4446-bae6-94e072a1659a,
2019-10-07 18:31:43.807,250.0,,2019-10-07 18:31:44.179,2019-10-07 18:31:44.179,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,f391ce0a-f5d0-415d-a8b9-fa8b0e3df7eb,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.197,2019-06-09 00:10:28.197,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0a574f55-268b-4216-afa5-d44468bf966e,
2019-10-07 18:32:03.801,250.0,,2019-10-07 18:32:04.163,2019-10-07 18:32:04.163,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,aab4ec82-c4e4-4d71-943e-87f75976a68d,
2019-10-07 18:31:48.803,250.0,,2019-10-07 18:31:49.177,2019-10-07 18:31:49.177,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,56680c61-aeeb-4e89-9abe-4b7a61da23ca,
2019-10-07 18:31:50.551,250.0,,2019-10-07 18:31:50.920,2019-10-07 18:31:50.920,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b8e78eb9-6889-4283-9964-052f43af30ac,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.854,2019-06-09 00:10:35.854,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,c3a7e13a-226e-40a1-94ed-30020757c94b,
2019-10-07 18:31:47.278,250.0,,2019-10-07 18:31:47.651,2019-10-07 18:31:47.651,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,c0874d1c-3f63-4f2b-a6a0-9c98852f71ba,
2019-10-07 18:31:58.442,250.0,,2019-10-07 18:31:58.816,2019-10-07 18:31:58.816,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,2e634a14-aab8-4620-9f51-87d6e6b5e807,
2019-10-07 18:32:01.544,250.0,,2019-10-07 18:32:01.915,2019-10-07 18:32:01.915,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,78ab9f97-8e33-4886-b540-a39fc909b94a,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.410,2019-06-09 00:11:33.410,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,8980f281-6adc-4155-8e96-e530a119fa25,
2019-10-07 18:32:09.302,250.0,,2019-10-07 18:32:09.711,2019-10-07 18:32:09.711,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,285484b0-7870-4a87-a59b-0fecb8e9f502,
2019-10-07 18:31:57.155,250.0,,2019-10-07 18:31:57.528,2019-10-07 18:31:57.528,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,fe088b9a-81f1-4e4e-894a-a12a3ae4df93,
2019-10-07 18:32:05.767,250.0,,2019-10-07 18:32:06.142,2019-10-07 18:32:06.142,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,d3961221-c40a-4a37-a307-d2a37a8152ff,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:11:33.413,2019-06-09 00:11:33.413,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,fdcc92a9-5efc-4bc9-8302-70e625c48b19,
2019-10-07 18:32:07.042,250.0,,2019-10-07 18:32:07.415,2019-10-07 18:32:07.415,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,ac421a4b-fac2-4a4f-9ef9-6f9a7d83cc7f,
2019-10-07 18:32:11.705,250.0,,2019-10-07 18:32:12.111,2019-10-07 18:32:12.111,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,4fbd025c-0afe-4341-8fa8-ff7c6af28748,
2019-10-07 18:32:10.044,250.0,,2019-10-07 18:32:10.422,2019-10-07 18:32:10.422,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,5e4e0f20-cd59-424e-b71b-a4dbbad9952e,
2019-10-07 18:32:03.035,250.0,,2019-10-07 18:32:03.408,2019-10-07 18:32:03.408,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,6c927f8c-1df9-4abf-80ad-4c3ddadd5aea,
2019-10-07 18:31:43.204,250.0,,2019-10-07 18:31:43.577,2019-10-07 18:31:43.577,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,c4647891-5fd1-4775-9fb5-dbaaac23174f,
2019-10-07 18:32:08.537,250.0,,2019-10-07 18:32:08.906,2019-10-07 18:32:08.906,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b74f87f2-75e4-4fb0-9f5b-79454a05f560,
2019-10-07 18:31:49.544,250.0,,2019-10-07 18:31:49.913,2019-10-07 18:31:49.913,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,6c8e3b35-e15e-4cf8-a113-6e3bda87bf1a,
2019-10-07 18:32:00.907,250.0,,2019-10-07 18:32:01.280,2019-10-07 18:32:01.280,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,faf8af49-a0d8-4ddc-a398-b07f699625ff,
2019-10-07 18:32:06.422,250.0,,2019-10-07 18:32:06.798,2019-10-07 18:32:06.798,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,bb1b4c23-28e0-4293-ab55-4d54bb510bba,
2019-10-07 18:32:11.032,250.0,,2019-10-07 18:32:11.461,2019-10-07 18:32:11.461,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,89ffe5d8-af16-487b-8939-65646fc0df14,
