com.samsung.shealth.report,6123001,3
Asia/Riyadh,1605474000000,2020-11-23 11:53:18.861,2020-11-23 11:53:05.258,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,9a2e9699-50ea-4cf0-8a67-546161447692,9a2e9699-50ea-4cf0-8a67-546161447692.compressed_content.json,
Asia/Riyadh,1549746000000,2019-02-23 11:49:09.759,2019-02-17 11:49:53.741,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,4bf5a4d3-30ba-43d2-89f1-4627b3277455,4bf5a4d3-30ba-43d2-89f1-4627b3277455.compressed_content.json,
Asia/Riyadh,1553374800000,2019-04-06 11:49:06.046,2019-03-31 11:50:20.522,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,a0b933a2-90ab-47f8-8b06-a2daffaf717a,a0b933a2-90ab-47f8-8b06-a2daffaf717a.compressed_content.json,
Asia/Riyadh,1556485200000,2019-05-12 12:24:59.807,2019-05-06 11:48:49.947,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,4dc10a27-bbf8-4a10-8b7d-8d322b23ef7d,4dc10a27-bbf8-4a10-8b7d-8d322b23ef7d.compressed_content.json,
Asia/Seoul,1559487600000,2019-06-16 05:49:46.211,2019-06-11 05:49:44.455,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,dc722a5e-7f83-450a-85ab-f110113a98de,dc722a5e-7f83-450a-85ab-f110113a98de.compressed_content.json,
Asia/Riyadh,1562533200000,2019-07-21 11:50:28.717,2019-07-15 12:24:45.640,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,be5fb0c0-315a-4411-8da2-1525c868fd7e,be5fb0c0-315a-4411-8da2-1525c868fd7e.compressed_content.json,
Asia/Riyadh,1566162000000,2019-09-01 11:49:06.457,2019-08-26 11:48:54.310,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,cd5fb1f7-0125-4c82-8002-9366ed2d43d7,cd5fb1f7-0125-4c82-8002-9366ed2d43d7.compressed_content.json,
Asia/Riyadh,1569790800000,2019-10-07 11:49:11.262,2019-10-07 11:49:08.549,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,25831b2b-01af-45b3-b6ba-2ca2561941c5,25831b2b-01af-45b3-b6ba-2ca2561941c5.compressed_content.json,
Asia/Riyadh,1573419600000,2019-11-18 11:49:08.986,2019-11-18 11:49:06.118,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,e7efbace-a02c-4f16-960c-a089fd23e45e,e7efbace-a02c-4f16-960c-a089fd23e45e.compressed_content.json,
Asia/Riyadh,1577048400000,2019-12-30 11:48:53.144,2019-12-30 11:48:49.992,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,ec2aa033-ee84-4b7a-b38d-8d728e4c126f,ec2aa033-ee84-4b7a-b38d-8d728e4c126f.compressed_content.json,
Asia/Riyadh,1580677200000,2020-02-10 11:51:02.152,2020-02-10 11:50:58.896,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2ae65e85-8217-4f1e-b713-05d6428e2a5d,2ae65e85-8217-4f1e-b713-05d6428e2a5d.compressed_content.json,
Asia/Riyadh,1550955600000,2019-03-09 11:49:05.817,2019-03-03 11:51:09.453,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,cb7ad7c3-daf8-4998-9a30-764849045d6d,cb7ad7c3-daf8-4998-9a30-764849045d6d.compressed_content.json,
Asia/Riyadh,1584306000000,2020-03-23 11:49:14.898,2020-03-23 11:49:11.079,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,820c73f3-6919-42fd-87ec-bc7f91d826b0,820c73f3-6919-42fd-87ec-bc7f91d826b0.compressed_content.json,
Asia/Riyadh,1550350800000,2019-03-02 11:49:43.741,2019-02-24 11:49:01.845,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,eb5ce548-ba06-46a1-8cd2-cc1484289cc7,eb5ce548-ba06-46a1-8cd2-cc1484289cc7.compressed_content.json,
Asia/Riyadh,1554584400000,2019-04-18 11:50:06.035,2019-04-14 11:49:44.368,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,58b393a5-3be4-4c06-85ea-335559708f15,58b393a5-3be4-4c06-85ea-335559708f15.compressed_content.json,
Asia/Riyadh,1557694800000,2019-05-26 11:50:35.184,2019-05-20 12:43:56.466,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,d2775ab1-b9b8-47af-9de3-c75243e02053,d2775ab1-b9b8-47af-9de3-c75243e02053.compressed_content.json,
Asia/Riyadh,1587934800000,2020-05-04 13:31:31.410,2020-05-04 13:31:19.912,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,721b8f37-3ac5-44e8-94fc-2c76340ad6a8,721b8f37-3ac5-44e8-94fc-2c76340ad6a8.compressed_content.json,
Asia/Riyadh,1553979600000,2019-04-13 11:49:07.583,2019-04-07 11:48:52.252,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,004d2d17-6162-4f41-9092-247dc31f5985,004d2d17-6162-4f41-9092-247dc31f5985.compressed_content.json,
Asia/Tokyo,1560697200000,2019-06-30 05:49:02.925,2019-06-24 05:49:16.357,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,aacd0ea4-70a1-41b3-97aa-fc06e0e17cfc,aacd0ea4-70a1-41b3-97aa-fc06e0e17cfc.compressed_content.json,
Asia/Riyadh,1563742800000,2019-08-04 11:49:38.038,2019-07-29 11:49:18.607,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,233b4290-2eb6-4743-98ed-bbc1cd7a8041,233b4290-2eb6-4743-98ed-bbc1cd7a8041.compressed_content.json,
Asia/Riyadh,1557090000000,2019-05-19 11:51:02.010,2019-05-13 12:54:59.594,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,94974a32-ae42-4a10-9c1b-47ecc2d8375d,94974a32-ae42-4a10-9c1b-47ecc2d8375d.compressed_content.json,
Asia/Riyadh,1591563600000,2020-06-15 11:49:17.564,2020-06-15 11:49:12.631,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,31ad1f45-da68-411f-aeec-cdb26a99af24,31ad1f45-da68-411f-aeec-cdb26a99af24.compressed_content.json,
Asia/Riyadh,1595192400000,2020-07-27 12:05:10.357,2020-07-27 12:05:03.413,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,1886592c-7784-48f8-975c-53267808ea56,1886592c-7784-48f8-975c-53267808ea56.compressed_content.json,
Asia/Tokyo,1560092400000,2019-06-23 05:49:06.192,2019-06-17 05:49:16.537,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,88dc64e0-3501-425e-a4e5-6d2338015aa3,88dc64e0-3501-425e-a4e5-6d2338015aa3.compressed_content.json,
Asia/Riyadh,1598821200000,2020-09-07 11:49:16.697,2020-09-07 11:49:11.786,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,034a48c3-ffdb-4c9b-8e78-ce876f8a51cf,034a48c3-ffdb-4c9b-8e78-ce876f8a51cf.compressed_content.json,
Asia/Riyadh,1567371600000,2019-09-15 11:48:53.226,2019-09-09 13:12:27.692,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,4525e366-c227-42aa-b904-ec9492822518,4525e366-c227-42aa-b904-ec9492822518.compressed_content.json,
Asia/Riyadh,1563138000000,2019-07-28 12:43:06.141,2019-07-22 12:22:32.430,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,7c586d46-c67a-4d50-9777-7ace03810d3c,7c586d46-c67a-4d50-9777-7ace03810d3c.compressed_content.json,
Asia/Riyadh,1602450000000,2020-10-19 11:53:03.500,2020-10-19 11:51:45.660,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,d16e7ab2-6fca-495b-a445-2a994be2d30e,d16e7ab2-6fca-495b-a445-2a994be2d30e.compressed_content.json,
Asia/Riyadh,1606078800000,2020-11-30 11:49:13.776,2020-11-30 11:49:10.491,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,6bc277f7-488a-403b-a5d4-dfdc94725c74,6bc277f7-488a-403b-a5d4-dfdc94725c74.compressed_content.json,
Asia/Riyadh,1566766800000,2019-09-08 11:49:28.879,2019-09-02 11:48:50.664,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,d6ae62de-fcc3-4091-9071-2a012ef5850f,d6ae62de-fcc3-4091-9071-2a012ef5850f.compressed_content.json,
Asia/Riyadh,1571000400000,2019-10-21 11:49:04.610,2019-10-21 11:49:01.512,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,e8e6ce1f-058d-47a2-b0a4-6b386b6a2d39,e8e6ce1f-058d-47a2-b0a4-6b386b6a2d39.compressed_content.json,
Asia/Riyadh,1574629200000,2019-12-02 11:54:19.272,2019-12-02 11:54:16.177,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,677af33a-1249-4438-9221-9a9553a60e7d,677af33a-1249-4438-9221-9a9553a60e7d.compressed_content.json,
Asia/Riyadh,1570395600000,2019-10-14 11:51:04.122,2019-10-14 11:51:01.581,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,07e5ac2f-65f3-4610-9db5-980db7af6058,07e5ac2f-65f3-4610-9db5-980db7af6058.compressed_content.json,
Asia/Riyadh,1578258000000,2020-01-13 11:49:05.077,2020-01-13 11:49:01.820,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,4d3ba63a-63cf-40a5-9716-ef450f459cac,4d3ba63a-63cf-40a5-9716-ef450f459cac.compressed_content.json,
Asia/Riyadh,1574024400000,2019-11-25 11:49:05.099,2019-11-25 11:49:02.543,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,99eac56e-d7df-43b2-9003-baedebe77b43,99eac56e-d7df-43b2-9003-baedebe77b43.compressed_content.json,
Asia/Riyadh,1581886800000,2020-02-24 11:52:16.842,2020-02-24 11:52:13.632,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,c6b3f2b0-0140-4a99-b5d0-b61fa6f9400a,c6b3f2b0-0140-4a99-b5d0-b61fa6f9400a.compressed_content.json,
Asia/Riyadh,1585515600000,2020-04-06 11:57:46.725,2020-04-06 11:57:40.009,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,726d0df8-66b3-49dd-abb0-af82ba687c38,726d0df8-66b3-49dd-abb0-af82ba687c38.compressed_content.json,
Asia/Riyadh,1577653200000,2020-01-06 11:49:49.796,2020-01-06 11:49:44.597,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,78af0765-99c7-4796-9c83-8be5e3f6eef4,78af0765-99c7-4796-9c83-8be5e3f6eef4.compressed_content.json,
Asia/Riyadh,1589144400000,2020-05-18 11:50:18.988,2020-05-18 11:49:14.227,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,530d55bf-a4df-496a-861a-9dfa5b548d0b,530d55bf-a4df-496a-861a-9dfa5b548d0b.compressed_content.json,
Asia/Riyadh,1581282000000,2020-02-17 11:48:51.891,2020-02-17 11:48:50.305,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,e6d2bf09-47e5-4e55-a406-61ded45a18a8,e6d2bf09-47e5-4e55-a406-61ded45a18a8.compressed_content.json,
Asia/Riyadh,1592773200000,2020-06-30 11:49:30.797,2020-06-29 11:48:49.438,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,805efa7d-e59e-4c7a-abe9-9ace2b11070a,805efa7d-e59e-4c7a-abe9-9ace2b11070a.compressed_content.json,
Asia/Riyadh,1584910800000,2020-03-30 11:48:53.807,2020-03-30 11:48:50.918,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,c6e9ae58-6ce1-429a-ac26-581c55c4e170,c6e9ae58-6ce1-429a-ac26-581c55c4e170.compressed_content.json,
Asia/Riyadh,1588539600000,2020-05-11 11:53:06.598,2020-05-11 11:53:02.504,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,ff55b1b9-5b46-44df-b506-23d593d10fb4,ff55b1b9-5b46-44df-b506-23d593d10fb4.compressed_content.json,
Asia/Riyadh,1592168400000,2020-06-22 11:49:15.184,2020-06-22 11:49:10.847,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,f8969cf8-0363-487e-a072-8430565faa8e,f8969cf8-0363-487e-a072-8430565faa8e.compressed_content.json,
Asia/Riyadh,1596402000000,2020-08-10 11:50:02.895,2020-08-10 11:49:08.968,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,bf37fe41-e5ae-44a3-9ec5-4a8dd0da778f,bf37fe41-e5ae-44a3-9ec5-4a8dd0da778f.compressed_content.json,
Asia/Riyadh,1600030800000,2020-09-21 11:49:09.179,2020-09-21 11:49:03.268,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,7e9dc760-b72e-4b2b-844b-7888bca8e76e,7e9dc760-b72e-4b2b-844b-7888bca8e76e.compressed_content.json,
Asia/Riyadh,1603659600000,2020-11-02 11:49:20.812,2020-11-02 11:49:09.967,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2ef5e754-a9b0-4d61-aa8c-75a9b45fc03d,2ef5e754-a9b0-4d61-aa8c-75a9b45fc03d.compressed_content.json,
Asia/Riyadh,1595797200000,2020-08-04 11:49:10.059,2020-08-03 11:54:00.735,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,29f28a40-87a8-4017-a2b4-f5881ec3b533,29f28a40-87a8-4017-a2b4-f5881ec3b533.compressed_content.json,
Asia/Riyadh,1599426000000,2020-09-14 11:49:16.923,2020-09-14 11:49:10.845,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2b9f424b-d13a-4e8f-a391-e64cf912dfa4,2b9f424b-d13a-4e8f-a391-e64cf912dfa4.compressed_content.json,
Asia/Riyadh,1603054800000,2020-10-26 11:51:14.014,2020-10-26 11:51:12.065,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,740be8b1-d82e-4b98-83d0-544c14412c85,740be8b1-d82e-4b98-83d0-544c14412c85.compressed_content.json,
Asia/Riyadh,1606683600000,2020-12-07 11:49:02.763,2020-12-07 11:49:01.574,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,f1b23d6f-2fff-4b93-9d5a-d6f93ef22712,f1b23d6f-2fff-4b93-9d5a-d6f93ef22712.compressed_content.json,
